Station,Month,CalcMonthlyMeanTemperature,CalcMonthlyMaximumTemperature,CalcMonthlyMinimumTemperature
72553394957,1,26,37.8387096774194,13.6774193548387
72553394957,2,30.25,44.7142857142857,15.1785714285714
72553394957,3,42.2903225806452,55.0645161290323,29.1290322580645
72553394957,4,51.3333333333333,63.4,38.7333333333333
72553394957,5,65,74.8666666666667,54.7666666666667
72553394957,6,75.5333333333333,86.5333333333333,64.0666666666667
72553394957,7,77.1935483870968,87,66.7741935483871
72553394957,8,77.1290322580645,89.0322580645161,64.7741935483871
72553394957,9,69.5333333333333,83.0666666666667,55.6
72553394957,10,55.5483870967742,71.1612903225806,39.3548387096774
72553394957,11,40.0333333333333,51.9,27.7
72553394957,12,28.4193548387097,38.8387096774194,17.7096774193548
72205453959,1,38.5483870967742,49.1290322580645,27.5483870967742
72205453959,2,42.1428571428571,52.6428571428571,31.2857142857143
72205453959,3,53.6774193548387,64.7096774193548,42.1935483870968
72205453959,4,61.3,71,51.0333333333333
72205453959,5,72.9677419354839,82.7741935483871,62.7741935483871
72205453959,6,80.2333333333333,90.6,69.3333333333333
72205453959,7,84.741935483871,94.0645161290323,74.9032258064516
72205453959,8,80.7096774193548,89.3225806451613,71.7096774193548
72205453959,9,77.7333333333333,90.6666666666667,64.2
72205453959,10,62.1290322580645,75.0967741935484,48.5806451612903
72205453959,11,51.0666666666667,61.3,40.3666666666667
72205453959,12,44.2258064516129,51.8709677419355,36.0645161290323
72577504111,1,21.0645161290323,29.1290322580645,12.4838709677419
72577504111,2,20.4285714285714,29.3214285714286,10.7857142857143
72577504111,3,32.2903225806452,41.8387096774194,22.1612903225806
72577504111,4,38,50.3,25.3
72577504111,5,46.4516129032258,58.5806451612903,33.9354838709677
72577504111,6,60.1333333333333,74.3,45.4666666666667
72577504111,7,71.9354838709677,86.6774193548387,56.5806451612903
72577504111,8,68.4193548387097,81.8387096774194,54.5161290322581
72577504111,9,62.9666666666667,77.3666666666667,48.1666666666667
72577504111,10,46.7931034482759,59.9,33.5666666666667
72577504111,11,24.7333333333333,32.6666666666667,16.2333333333333
72577504111,12,22.3225806451613,29.5161290322581,14.6129032258065
72546314966,1,10.7096774193548,20.2258064516129,1
72546314966,2,16.6666666666667,26.6296296296296,6.17857142857143
72546314966,3,34.9032258064516,42.2258064516129,27.0967741935484
72546314966,4,42.2,50.5,33.4
72546314966,5,60.741935483871,70.0967741935484,50.741935483871
72546314966,6,70.3666666666667,80.0333333333333,60.1333333333333
72546314966,7,72.2903225806452,81.6129032258064,62.5483870967742
72546314966,8,70.0322580645161,78.6774193548387,60.9677419354839
72546314966,9,62.8666666666667,73.3666666666667,52
72546314966,10,49.3870967741936,61.3870967741936,37.0322580645161
