DATE,DailyAverageDryBulbTemperature,MonthlyMeanTemperature,DailyMaximumDryBulbTemperature,MonthlyMaximumTemperature,DailyMinimumDryBulbTemperature,MonthlyMinimumTemperature
01,62.0,,74.0,,49.0,
01,39.0,,49.0,,28.0,
01,32.0,,36.0,,27.0,
01,32.0,,39.0,,25.0,
01,44.0,,53.0,,34.0,
01,32.0,,40.0,,23.0,
01,25.0,,30.0,,20.0,
01,43.0,,60.0,,26.0,
01,48.0,,63.0,,32.0,
01,36.0,,45.0,,26.0,
01,40.0,,51.0,,28.0,
01,45.0,,57.0,,33.0,
01,51.0,,64.0,,37.0,
01,43.0,,53.0,,33.0,
01,43.0,,49.0,,36.0,
01,36.0,,41.0,,31.0,
01,40.0,,47.0,,32.0,
01,44.0,,57.0,,31.0,
01,44.0,,58.0,,30.0,
01,25.0,,30.0,,20.0,
01,24.0,,31.0,,17.0,
01,26.0,,36.0,,16.0,
01,40.0,,52.0,,28.0,
01,44.0,,62.0,,26.0,
01,38.0,,49.0,,26.0,
01,30.0,,38.0,,21.0,
01,35.0,,46.0,,24.0,
01,35.0,,46.0,,24.0,
01,29.0,,42.0,,16.0,
01,43.0,,58.0,,28.0,
01,47.0,,67.0,,27.0,
01,,38.3,,49.1,,27.5
02,54.0,,70.0,,37.0,
02,44.0,,58.0,,30.0,
02,29.0,,32.0,,26.0,
02,27.0,,31.0,,22.0,
02,28.0,,35.0,,21.0,
02,32.0,,43.0,,21.0,
02,33.0,,43.0,,23.0,
02,41.0,,56.0,,26.0,
02,52.0,,64.0,,40.0,
02,48.0,,62.0,,34.0,
02,55.0,,70.0,,40.0,
02,39.0,,51.0,,26.0,
02,34.0,,46.0,,21.0,
02,43.0,,61.0,,25.0,
02,51.0,,66.0,,35.0,
02,63.0,,73.0,,52.0,
02,52.0,,69.0,,34.0,
02,35.0,,42.0,,27.0,
02,41.0,,53.0,,29.0,
02,48.0,,63.0,,33.0,
02,56.0,,62.0,,50.0,
02,55.0,,69.0,,41.0,
02,36.0,,41.0,,31.0,
02,34.0,,37.0,,31.0,
02,32.0,,34.0,,30.0,
02,33.0,,36.0,,30.0,
02,42.0,,50.0,,33.0,
02,43.0,,57.0,,28.0,
02,,42.0,,52.6,,31.3
03,53.0,,69.0,,36.0,
03,57.0,,74.0,,39.0,
03,60.0,,78.0,,42.0,
03,59.0,,75.0,,43.0,
03,63.0,,76.0,,50.0,
03,73.0,,80.0,,66.0,
03,57.0,,73.0,,40.0,
03,43.0,,46.0,,39.0,
03,46.0,,54.0,,37.0,
03,50.0,,61.0,,39.0,
03,38.0,,47.0,,28.0,
03,29.0,,34.0,,23.0,
03,43.0,,57.0,,28.0,
03,49.0,,64.0,,34.0,
03,54.0,,57.0,,51.0,
03,59.0,,67.0,,50.0,
03,60.0,,73.0,,46.0,
03,58.0,,68.0,,48.0,
03,55.0,,65.0,,45.0,
03,57.0,,73.0,,40.0,
03,60.0,,75.0,,45.0,
03,62.0,,68.0,,56.0,
03,50.0,,57.0,,42.0,
03,47.0,,57.0,,36.0,
03,52.0,,62.0,,42.0,
03,51.0,,62.0,,40.0,
03,49.0,,58.0,,40.0,
03,54.0,,67.0,,41.0,
03,65.0,,77.0,,53.0,
03,62.0,,75.0,,48.0,
03,49.0,,57.0,,41.0,
03,,53.5,,64.7,,42.2
04,46.0,,57.0,,34.0,
04,55.0,,67.0,,42.0,
04,58.0,,70.0,,46.0,
04,62.0,,74.0,,49.0,
04,64.0,,71.0,,57.0,
04,60.0,,69.0,,50.0,
04,55.0,,63.0,,47.0,
04,46.0,,49.0,,43.0,
04,53.0,,65.0,,40.0,
04,62.0,,80.0,,44.0,
04,67.0,,73.0,,61.0,
04,74.0,,82.0,,66.0,
04,64.0,,78.0,,50.0,
04,55.0,,66.0,,43.0,
04,62.0,,78.0,,45.0,
04,63.0,,68.0,,58.0,
04,54.0,,59.0,,49.0,
04,55.0,,62.0,,47.0,
04,53.0,,63.0,,42.0,
04,56.0,,65.0,,46.0,
04,71.0,,78.0,,63.0,
04,72.0,,81.0,,63.0,
04,74.0,,82.0,,65.0,
04,75.0,,82.0,,68.0,
04,64.0,,70.0,,57.0,
04,54.0,,63.0,,44.0,
04,59.0,,74.0,,43.0,
04,63.0,,78.0,,48.0,
04,70.0,,83.0,,56.0,
04,73.0,,80.0,,65.0,
04,,61.0,,71.0,,51.0
05,70.0,,82.0,,57.0,
05,69.0,,81.0,,57.0,
05,71.0,,78.0,,63.0,
05,68.0,,78.0,,58.0,
05,71.0,,79.0,,63.0,
05,66.0,,73.0,,58.0,
05,63.0,,71.0,,54.0,
05,65.0,,79.0,,51.0,
05,76.0,,85.0,,67.0,
05,80.0,,90.0,,70.0,
05,79.0,,91.0,,67.0,
05,82.0,,95.0,,69.0,
05,77.0,,88.0,,65.0,
05,76.0,,88.0,,64.0,
05,78.0,,89.0,,67.0,
05,71.0,,82.0,,59.0,
05,69.0,,83.0,,55.0,
05,77.0,,91.0,,63.0,
05,83.0,,91.0,,74.0,
05,83.0,,92.0,,74.0,
05,79.0,,91.0,,66.0,
05,65.0,,68.0,,61.0,
05,65.0,,70.0,,60.0,
05,73.0,,82.0,,64.0,
05,74.0,,79.0,,68.0,
05,67.0,,72.0,,61.0,
05,64.0,,71.0,,57.0,
05,67.0,,80.0,,54.0,
05,74.0,,86.0,,62.0,
05,79.0,,90.0,,67.0,
05,81.0,,91.0,,71.0,
05,,72.8,,82.8,,62.8
06,80.0,,90.0,,69.0,
06,74.0,,79.0,,68.0,
06,73.0,,82.0,,63.0,
06,73.0,,85.0,,61.0,
06,75.0,,87.0,,62.0,
06,78.0,,86.0,,69.0,
06,79.0,,86.0,,71.0,
06,76.0,,82.0,,69.0,
06,76.0,,85.0,,66.0,
06,72.0,,80.0,,64.0,
06,75.0,,85.0,,64.0,
06,83.0,,95.0,,71.0,
06,87.0,,96.0,,78.0,
06,86.0,,95.0,,77.0,
06,86.0,,96.0,,75.0,
06,86.0,,98.0,,74.0,
06,87.0,,97.0,,77.0,
06,84.0,,94.0,,74.0,
06,78.0,,90.0,,65.0,
06,79.0,,95.0,,63.0,
06,86.0,,98.0,,73.0,
06,87.0,,100.0,,73.0,
06,85.0,,95.0,,74.0,
06,83.0,,95.0,,71.0,
06,84.0,,99.0,,69.0,
06,84.0,,93.0,,74.0,
06,77.0,,84.0,,69.0,
06,75.0,,86.0,,64.0,
06,77.0,,92.0,,62.0,
06,82.0,,93.0,,71.0,
06,,80.0,,90.6,,69.3
07,83.0,,93.0,,73.0,
07,84.0,,93.0,,74.0,
07,82.0,,91.0,,73.0,
07,86.0,,97.0,,74.0,
07,89.0,,99.0,,79.0,
07,88.0,,97.0,,78.0,
07,89.0,,98.0,,79.0,
07,90.0,,100.0,,80.0,
07,88.0,,98.0,,78.0,
07,84.0,,93.0,,75.0,
07,82.0,,96.0,,68.0,
07,85.0,,97.0,,72.0,
07,85.0,,93.0,,76.0,
07,85.0,,96.0,,73.0,
07,83.0,,95.0,,71.0,
07,86.0,,97.0,,74.0,
07,85.0,,97.0,,73.0,
07,80.0,,89.0,,71.0,
07,83.0,,93.0,,73.0,
07,87.0,,94.0,,80.0,
07,86.0,,96.0,,75.0,
07,83.0,,95.0,,70.0,
07,84.0,,93.0,,74.0,
07,86.0,,96.0,,76.0,
07,88.0,,97.0,,78.0,
07,87.0,,96.0,,78.0,
07,88.0,,96.0,,79.0,
07,85.0,,93.0,,76.0,
07,79.0,,84.0,,74.0,
07,81.0,,87.0,,74.0,
07,76.0,,77.0,,74.0,
07,,84.5,,94.1,,74.9
08,82.0,,90.0,,74.0,
08,83.0,,92.0,,74.0,
08,82.0,,90.0,,74.0,
08,82.0,,88.0,,75.0,
08,83.0,,90.0,,76.0,
08,84.0,,92.0,,75.0,
08,83.0,,92.0,,73.0,
08,85.0,,94.0,,75.0,
08,83.0,,91.0,,74.0,
08,82.0,,91.0,,73.0,
08,81.0,,88.0,,74.0,
08,80.0,,90.0,,70.0,
08,76.0,,87.0,,65.0,
08,77.0,,90.0,,64.0,
08,82.0,,90.0,,74.0,
08,77.0,,84.0,,69.0,
08,72.0,,76.0,,68.0,
08,76.0,,86.0,,66.0,
08,78.0,,89.0,,67.0,
08,80.0,,88.0,,71.0,
08,78.0,,85.0,,70.0,
08,80.0,,86.0,,73.0,
08,79.0,,85.0,,72.0,
08,79.0,,87.0,,71.0,
08,81.0,,90.0,,71.0,
08,82.0,,92.0,,72.0,
08,83.0,,94.0,,72.0,
08,84.0,,93.0,,75.0,
08,85.0,,94.0,,76.0,
08,84.0,,93.0,,74.0,
08,79.0,,92.0,,66.0,
08,,80.5,,89.3,,71.7
09,77.0,,91.0,,63.0,
09,80.0,,90.0,,69.0,
09,85.0,,94.0,,75.0,
09,81.0,,89.0,,72.0,
09,83.0,,94.0,,72.0,
09,83.0,,93.0,,72.0,
09,82.0,,92.0,,71.0,
09,79.0,,90.0,,67.0,
09,78.0,,90.0,,65.0,
09,75.0,,78.0,,72.0,
09,75,,86.0,,63,
09,71,,85.0,,57,
09,74,,92.0,,55,
09,77,,92.0,,61,
09,78,,91.0,,65,
09,79,,92.0,,66,
09,81,,93.0,,68,
09,83,,96.0,,69,
09,85,,100.0,,70,
09,88,,103.0,,72,
09,88,,105.0,,71,
09,77,,89.0,,64,
09,76,,89.0,,62,
09,83,,101.0,,65,
09,80,,94.0,,65,
09,71,,87.0,,55,
09,68,,88.0,,48,
09,68,,82.0,,54,
09,64,,75.0,,52,
09,63s,,79.0,,46s,
09,,77.5,,90.7,,64.2
10,63,,80.0,,45,
10,66,,83.0,,48,
10,65,,79.0,,50,
10,63,,78.0,,48,
10,63,,81.0,,45,
10,67,,87.0,,47,
10,68,,81.0,,54,
10,59,,71.0,,47,
10,60,,76.0,,43,
10,68,,83.0,,52,
10,69,,82.0,,55,
10,72,,87.0,,57,
10,60,,72.0,,48,
10,62,,82.0,,42,
10,62,,72.0,,52,
10,67,,73.0,,60,
10,50,,60.0,,40,
10,43,,53.0,,33,
10,44,,58.0,,29,
10,51,,69.0,,32,
10,63,,81.0,,44,
10,72,,81.0,,62,
10,73,,83.0,,63,
10,72,,81.0,,62,
10,60,,73.0,,47,
10,54,,64.0,,43,
10,57,,70.0,,43,
10,61,,76.0,,45,
10,64,,72.0,,56,
10,65,,69.0,,60,
10,63,,71.0,,54,
10,,61.9,,75.1,,48.6
11,61,,71.0,,50,
11,66,,78.0,,53,
11,67,,81.0,,52,
11,70,,78.0,,62,
11,60,,71.0,,49,
11,61,,74.0,,47,
11,64,,68.0,,60,
11,68,,80.0,,56,
11,69,,80.0,,57,
11,61,,73.0,,49,
11,56,,65.0,,46,
11,39,,46.0,,31,
11,38,,45.0,,31,
11,39,,50.0,,28,
11,44,,47.0,,41,
11,40,,50.0,,29,
11,34,,44.0,,24,
11,36,,45.0,,27,
11,35,,43.0,,27,
11,35,,45.0,,25,
11,38,,53.0,,22,
11,44,,60.0,,27,
11,49,,66.0,,31,
11,52,,57.0,,46,
11,55,,63.0,,46,
11,54,,63.0,,45,
11,49,,58.0,,40,
11,49,,61.0,,37,
11,56,,68.0,,44,
11,43,,56.0,,29,
11,,50.9,,61.3,,40.4
12,39,,50.0,,28,
12,53,,64.0,,41,
12,51,,67.0,,35,
12,38,,44.0,,31,
12,54,,65.0,,42,
12,64,,72.0,,55,
12,64,,69.0,,59,
12,57,,60.0,,53,
12,53,,60.0,,46,
12,49,,52.0,,46,
12,51,,53.0,,48,
12,48,,51.0,,45,
12,56,,64.0,,48,
12,55,,63.0,,46,
12,43,,48.0,,38,
12,40,,45.0,,35,
12,37,,44.0,,29,
12,33,,44.0,,22,
12,38,,44.0,,31,
12,44,,52.0,,35,
12,41,,53.0,,29,
12,26,,46.0,,5,
12,9,,15.0,,2,
12,20,,28.0,,11,
12,27,,32.0,,21,
12,33,,38.0,,28,
12,34,,42.0,,26,
12,42,,60.0,,24,
12,61,,64.0,,57,
12,57,,61.0,,52,
12,54,,58.0,,50,
12,,44.0,,51.9,,36.1
